x,y,goal
-32.1596,-5.9224515,Become a mentor
16.321201,36.12971,lose 20 pounds
17.876959,13.351613,wake up at 6am every day
16.490522,13.80948,wake up early every day
18.196943,14.249841,wake up at 7 am every day
17.318474,14.284431,wake up at 4:30 am every day
21.424799,-11.945999,get better at communicating
6.144475,1.3638464,plan more
16.21174,12.940051,wake up earlier
12.219826,0.094741195,be more productive
-21.022398,0.18035547,get a degree  
-20.261087,3.009691,go to college
-20.400724,3.0588298,go to university
2.8995454,38.685184,do push-ups every day
24.315018,25.80138,stop drinking soda
21.237474,-15.198578,stop gossiping
-17.233107,-5.4503384,get a job
-17.143085,-6.577724,find a job
-14.994273,-4.8562727,find a new job
-14.767408,-6.851478,find a better job
-14.164236,-6.7393613,get a better job
25.292015,-15.240731,meet more people
28.519283,-16.26827,meet one new person each week
27.348505,-16.20128,meet 3 new people each month
-20.728096,-13.172558,earn a promotion
4.812861,7.9411616,ask a good question every day
-22.522142,14.665978,go to australia
-21.896046,29.290354,skydive
0.98575795,27.100098,lift
2.965741,31.684723,workout
1.200215,27.397318,lift more
-17.722559,17.968788,do something fun
-4.056332,0.09943058,do something challenging
-18.617987,19.046122,go on a date night
-19.703655,20.638596,go on a cruise
20.339306,-20.891235,be a better friend
22.770277,-26.480177,be a better boyfriend
21.309668,-27.890879,be a better girlfriend
26.343235,-22.7842,be kind
22.82312,-28.683495,get a girlfriend
23.631563,-28.177004,get a boyfriend
16.116669,-29.840544,get a partner
16.066414,-28.305004,be a better partner
28.948454,-10.357445,give a compliment every day
16.47043,33.796238,lose weight
7.7442513,29.681635,yoga
8.394174,29.806702,Do yoga
-24.670908,19.352726,TRAVEL THE WORLD
0.9721044,32.100716,join a gym
1.8091674,32.846992,hit the gym
20.913256,13.587931,get 8 hours of sleep each night
20.869623,13.736167,get eight hours of sleep every night
21.054354,29.529152,stop eating candy
20.98471,27.880772,cut back on sugar
-19.264225,-12.491693,Ask for a raise
-23.814928,-34.644295,Pay back all my debt
-7.637602,-30.677624,buy a home
-20.990889,-29.537764,get better at tracking my finances
-21.12589,-30.57369,manage my finances better
-19.217363,-30.285028,start manging my money better
-18.699951,-27.682537,start budgeting
-16.776825,-26.637543,budget
2.4959028,1.7677706,Read more
3.482177,2.969537,start reading more
21.60674,-19.38688,be more friendly
25.627022,-15.642589,meet a ton of people
27.373976,7.351849,meditate
28.311071,7.626314,start meditating
2.1385255,-9.497031,journal
1.2196325,-10.523966,start a journal
-23.698917,31.686731,zipline
16.418272,28.354687,eat more healthily
15.173352,29.825365,eat healthier
16.495203,29.18226,eat more healthy foods
8.581031,23.099194,cook more
8.816653,20.209366,learn to cook
13.054125,-11.982217,be more positive
28.98142,-10.282605,give more compliments
2.303793,25.591707,grind
-25.93809,-0.8831286,become a doctor
-12.377538,-6.4476423,work harder
11.889669,0.10649043,Be more efficient
27.677664,9.105852,Meditate for 30 minutes a day
27.203085,9.74204,Meditate for 15 minutes each day
26.629969,9.031049,meditate for 20 mins every day
1.5935692,33.735504,Go to the gym every day
-1.0545655,-24.581036,start a charity
1.3062433,-4.6632776,write an autobiography
-10.229527,-13.7428,become famous
32.532654,-4.763311,get into fashion
32.892056,-3.8745537,go to Paris fashion week
-1.1158369,22.441074,learn how to sew
-8.80326,40.36714,run a marathon
-9.890967,40.396626,marathon
-2.3892844,-24.17255,donate more
-3.3098557,10.330683,learn how to code
-29.32971,-19.723269,create an app
-16.24789,-20.973362,create a brand
-16.145338,-21.001389,create a fashion brand
1.7961154,0.58586025,read
2.8320017,1.2140166,read more
2.5486617,4.043986,Read more books
17.926622,19.4079,leetcode every day
17.925047,19.417332,do leetcode every day
-23.507528,-4.8285475,get into Google
-23.507528,-4.8285475,get into google
-16.274279,-7.359271,find a good job
17.320723,-34.325577,get married
-26.730715,23.43732,See exotic places
3.168789,-28.346525,Have kids
-25.93809,-0.8831286,Become a doctor
-21.980541,-26.593233,have a stable income
18.923132,-35.39192,propose
-25.930954,0.22074613,get into med school
12.973948,-16.8104,Be actually happy
18.712801,-34.310833,get engaged
-26.730715,23.43732,see exotic places
3.145091,-28.303284,have children
24.028477,-29.77619,get a hot girlfriend
24.531517,-29.3801,get a hot boyfriend
-16.16056,-8.657065,get a well-paid job
-16.565207,-16.582523,become a millionare
-14.548389,27.04765,buy a pool
-7.4072537,-28.878613,get an apartment
-25.927849,13.516002,move to NYC
-17.453585,-36.122993,retire
-12.7391815,-13.99689,become an actor
-12.135356,-14.010826,become a famous actor
-10.934992,-14.488137,become a celebrity
-9.4567175,-12.662156,become a famous singer
9.729469,35.828102,actually get fit
9.638963,35.39539,get fit
-12.040721,-27.492825,buy a luxury car
-12.310818,-25.16853,get a Bugatti
-5.8239136,15.0855055,learn karate
8.072751,39.44904,get abs
-6.045378,15.321507,learn taekwondo
-7.853591,-35.73625,build a treehouse
18.653889,30.64002,stop eating unhealthy
21.024008,30.669085,stop eating chips
-4.0730023,37.073895,run every day
-3.4738026,38.056698,run 3 times a week
-2.637666,38.985382,Jog 4 times a week
-6.0280347,40.762764,Run 50 miles this month
-21.59067,-14.966346,become a ceo
-21.109188,-18.135685,IPO my company at 1 billion
5.8554745,21.22776,learn how to bake
-24.228085,-22.440302,open a restaurant
-10.063068,-16.764954,be popular
2.865092,8.1072445,read a paper every day
-2.1754396,-7.411306,write a research paper
-1.9183829,-7.5399036,publish a research paper
-0.14996806,-8.40545,publish a magazine
3.8835137,0.08260717,write more
4.8563046,31.658962,exercise more
-4.7934136,40.180244,Run at least 4 miles a day
34.64808,-7.6047745,get straight As
-13.424018,-10.933334,win an award
19.796791,-19.774115,make more friends
22.503372,-14.908194,start talking to more people
6.373507,3.9768126,pay more attention to the news
-26.497013,-12.835363,start following politics
32.096462,-5.8023114,improve the way I dress
1.9878614,40.58498,do 50 pushups a day
-7.7082977,40.812714,Run a half marathon
-10.195206,-16.582542,become popular
22.286283,-17.882133,be more sociable
28.750942,-16.267992,meet a new person every week
15.994058,31.949625,diet
22.082897,35.018085,go vegan
-24.371609,-20.07082,start a business
-28.672527,-18.238033,create a startup
-28.430578,-18.294315,create a start-up
-12.307568,-20.52927,create a label
-12.286522,-20.463541,start a record label
-1.3957281,-10.045067,release an album
12.821018,-33.473732,find my soulmate
-4.5624027,-29.70028,clean my room
2.0756283,39.065273,Do 70 push-ups every day
1.7332948,39.88396,do 40 pushups every day
3.5049157,40.8874,Do 10 pull-ups a day
-1.9612604,5.524205,learn something new every day
27.389584,19.94157,stop masturbating
25.496134,20.929058,stop doing drugs
28.557726,22.481886,stop vaping
25.302355,21.19287,stop doing heroin
27.408606,22.376856,stop smoking
31.032465,17.876307,stop gambling
31.1583,17.847574,stop betting
-22.295727,-29.721453,get my finances in order
-17.805983,-27.272581,create a budget
12.064599,7.5081882,do my homework on time
-27.983961,7.596819,get an A+ on my physics exam
-23.504242,11.618686,become the German embassy
-10.555667,-11.8884325,become a rapper
12.693824,7.936437,turn in my homework on time
13.176207,8.385865,turn in my assignments on time
-11.130023,-6.1556225,get my work done
-31.813414,-3.2074873,become a bartender
-4.270294,6.8719325,learn mixology
-6.283469,-19.255941,start a youtube channel
35.16949,-15.3408785,get 10k followers on instagram
35.122093,-15.354299,get 1000 followers
-3.0714507,-13.322215,find my purpose
-26.006565,4.4154887,get good grades this year
12.462063,4.5116186,have better time management
-27.041006,-6.4905086,get my driver's license
-26.00811,6.573765,take the SAT
20.83391,-21.448086,be a good friend
6.6027637,-30.300154,hug mom
6.7556853,22.635511,bake more
5.530605,-31.50911,be a better dog mom
14.062528,33.566456,reduce body fat
-27.886,-11.275639,get elected president
-28.37109,-11.458718,become president
-26.849083,-11.436122,get elected to a government position
-27.198229,-10.346362,get elected to the senate
22.183538,-26.328102,be a good boyfriend
21.201433,-27.25245,be a good girlfriend
16.54066,-28.63142,be a good partner
14.0526085,7.694102,turn things in on time
21.351793,-12.241894,be better at communicating
22.989195,-12.242322,respond to texts regularly
4.5086794,9.585199,check my email every day
-21.915876,-8.591436,find something I'm interested in
-21.486961,-8.318082,find something I actually enjoy
19.379595,-22.325134,find a friend
-27.661074,7.3837485,get an A on my exam
-28.74342,3.9524353,get a 40
-28.40444,3.9970233,get a 40 this semester
2.6943643,-23.19535,volunteer at a kitchen
0.529655,-21.765665,do more volunteer work
-16.221851,13.998967,save the environment
-27.907171,-17.185501,become a starter
-9.045416,21.35716,get good at basketball
-10.763684,20.07346,get good at baseball
-10.297027,21.868008,get good at football
-11.803965,22.745304,score a touchdown
-12.200345,20.461153,hit a homerun
-6.939956,38.497845,get good at running
-8.923654,42.513477,beat my mile time
-5.3766365,42.75341,run a sub-6 mile
-4.9839263,42.415398,run a sub-5 mile
27.853941,-20.604252,be attractive
-24.677078,-28.483845,do my taxes
-16.448923,-30.899744,save more money
-17.362812,-30.086622,stop spending extra money
-8.681857,22.381945,join the NBA
-9.796433,23.119913,join the NFL
-19.001795,6.131537,get recruited
-22.797419,-17.999651,start a firm
-19.125944,-3.9464107,get a job at goldman
-19.1797,-3.2543688,get a job at mckinsey
-22.24044,-4.769637,get a job at google
-23.797966,5.2411876,get into Harvard
-22.668919,4.927307,get into MIT
-24.040821,6.055281,get into Yale
-22.9078,6.030788,get into Princeton
-24.21097,4.4116592,get into an elite college
-29.159172,-13.027459,become first chair
-5.920574,-16.796673,have a live performance
-13.293189,7.1875978,study regularly
9.596385,-8.505216,be committed
-5.678704,18.850445,learn how to wrestle
-5.65259,18.910574,win my wrestling tournament
-18.411499,9.285813,join a frat
-31.274422,-0.18303335,join a school club
-31.816721,-1.6195661,get into a nightclub
-2.1392355,9.402921,practice coding problems every day
23.871958,-2.9595451,be more relaxed
19.31533,-30.476637,have a happy relationship
-16.520405,-12.140128,make a ton of money
-17.44157,-36.434933,retire early
4.011486,15.877546,make a garden
4.750421,22.543234,get a pizza oven
13.979958,-15.809978,stop being depressed
5.9705534,35.856934,exercise without being out of breath
17.668993,-2.9988942,stay healhy
-8.202003,33.83929,hike once a week
22.710997,19.306536,recover from surgery
17.569792,-19.942162,get a group of friends
19.987112,-23.182467,get a best friend
2.3610437,28.730692,get stronger
-12.947773,29.862886,explore the outdoors more
-11.340742,-34.719532,build a cabin
-8.23389,-35.517525,build a birdhouse
-8.074118,0.11245348,learn about carpentry
8.935091,13.444535,go sub-7 on the erg
10.144293,15.376106,get a sub 7 minute time rowing
9.333508,13.489963,sub 7
11.553988,13.740903,sub 6:30
11.513801,13.995484,get a sub 6:30
-14.287687,35.752674,climb mount everest
-8.076467,24.84889,join an esports team
-17.787848,26.311008,go scuba diving
-24.175842,2.3448381,graduate summa cum laude
-18.404533,30.01229,do a backflip
-1.7840446,34.97938,swim every day
2.1376717,35.7608,workout every day
-1.5993308,35.35608,swim 5 times a week
-2.6174428,38.58158,jog 3 times a week
-3.9824047,32.853985,cycle every day
-4.492911,32.717262,go cycling every day
-17.16237,-13.10546,earn more money
-13.4426775,6.982035,study  
30.603252,-6.266853,get better at makeup
27.90326,-21.051935,be pretty
-20.819328,-22.067501,start investing
28.31302,-23.278181,be gentle
26.342678,-22.784143,be kind
25.146267,-19.686579,be easygoing
22.392183,-22.831482,have good character
4.017314,-2.0836086,speak and write with concision and meaning
-14.706311,5.9578047,self-study math geometry and architecture
15.194935,15.031358,exercise early morning
7.1079884,33.287945,do health practices frequently like sauna
11.263121,-15.073517,be present in all things I do
15.398075,-32.966972,find a wife
13.741259,22.852499,feed people
3.4341695,34.545147,start working out regularly
-9.438286,9.666787,learn to play Clair de Lune on the piano
25.761547,-13.642757,get more people to rush
5.108653,-5.1389856,Write some music when the time feels right
19.183334,-5.6942134,Continue self-improvement
17.951563,-8.5964365,Do some more self identity stuff meaning like figure out gender and things
23.721506,-6.305573,Stop being afraid of shit and be true to self
-18.100441,9.517917,Make my frat room dope as fuck
-19.593555,-7.595324,try to find a job/internship that I think i'd actually enjoy
15.459099,34.52885,lose weight
-27.293718,15.365132,move out of the country
15.200744,26.941612,don't eat out as often
-21.710052,-0.07975308,get a second degree
-1.4720173,7.4722333,make something creative every day
7.9710574,31.02945,go to yoga every week
-7.2530866,26.590761,go to flamenco every week
-14.746497,-5.4221854,get a new job
-1.167442,17.76836,dance more
-18.677984,-5.863105,get a job in my field
25.945864,-2.5562477,don't have anxiety
-13.542753,21.225277,throw a knuckleball
-10.599739,19.538595,get better at pitching
23.97777,19.981209,get back into a routine of taking medication
8.419653,40.733337,get a six pack
-28.67614,-25.119692,get a 5 figure portfolio
33.600845,-6.899801,look the way I want to
9.391679,-21.546339,Spend more time with family
-5.191916,-33.69128,Home renovations
7.5852785,-24.333754,Attempt to get our family as close to self-sufficiency as possible
-9.768765,-1.1423128,Hobbies like wood working
4.684937,30.181442,More exercise and playing pickleball more
10.674155,21.111639,Trying to cook exotic dishes for the family to try
12.091263,26.763826,Making healthy meals in bulk
10.6144905,-25.062727,Improving our family's social connections
-10.832786,1.9590155,Creating some kind of art like sculptures and writing
20.480743,11.88807,Getting more sleep
-13.492701,4.256136,Taking some classes
-7.378714,8.090494,Learning to play an instrument
-0.29783958,12.603582,Make a video game
-0.61691487,-4.137504,Write a novel
11.747762,24.328638,cook and share high quality nutritious meals
10.29618,4.234523,putting more time and energy into holidays and other important events
5.2536645,16.875683,gardening and other local food production
5.7634273,-24.030584,running errands helping with housework for vulnerable members of the family/community
3.4796245,15.716885,Growing a big garden
-12.860708,3.831868,Taking more art classes
-10.970141,-34.93823,Building and running an Airbnb cabin
-10.602519,-0.4516203,Furniture making
8.355324,22.793943,Cooking more
5.612067,19.709997,Mastering bread making
0.30964205,-20.13049,Volunteer as a costumed interpreter at a living history museum
-9.338411,-2.1410701,Do more arts and crafts and nature activities with my kids if they're still young enough
-22.020334,18.529743,Traveling and visiting friends more
